fold,feature,target,n_test,n_train,target_n,total_band,target_band,shrink_weight,changed,target_probability,delta_full_log,delta_event_log,delta_dest_log,delta_binary_brier,delta_multiclass_brier
1,"[1, 8, 1, 1]",2,1,3,0,1-4,0-0,0.13043478260869565,1,0.03916960438699569,-0.13976194237515882,-0.061887314553573214,-0.07787462782158583,0.029724553440844348,0.027201284217826194
1,"[1, 8, 2, 2]",1,6,9,6,5-19,5-19,0.3103448275862069,1,0.4747912212415255,0.20071773768255274,0.07754188853207017,0.12317584915048252,-0.03561404139221114,-0.1426272050562804
1,"[1, 8, 2, 2]",3,1,9,2,5-19,1-4,0.3103448275862069,0,0.3328399393308115,-0.13937516075153644,-0.13937516075153644,0.0,0.06394190400551925,0.129616641224077
1,"[2, 2, 1, 1]",2,1,3,1,1-4,1-4,0.13043478260869565,1,0.13043478260869565,0.26570316573300534,0.22569783111930675,0.040005334613699095,-0.05006351606805304,-0.10395410785192061
1,"[2, 2, 2, 2]",0,2,9,7,5-19,5-19,0.3103448275862069,0,0.8528735632183907,-0.03885780260674704,-0.03885780260674704,0.0,0.008801743955608399,0.017753045316422265
1,"[2, 3, 1, 1]",0,1,0,0,0-0,0-0,0.0,0,0.8738049713193117,0.0,0.0,0.0,0.0,0.0
1,"[2, 3, 1, 2]",0,1,1,0,1-4,0-0,0.047619047619047616,0,0.8321952107802969,-0.04879016416943191,-0.04879016416943191,0.0,0.012233262021349257,0.019029993192259325
1,"[2, 3, 2, 2]",0,2,13,11,5-19,5-19,0.3939393939393939,0,0.8629121038298859,-0.012544369474817268,-0.012544369474817268,0.0,0.0028679060126282456,0.006516354435748276
1,"[2, 3, 2, 2]",1,1,13,0,5-19,0-0,0.3939393939393939,1,0.0350371332263133,-0.5007752879124889,0.08279374104542625,-0.5835690289579155,-0.018917828966223516,0.030278892651104172
1,"[2, 4, 1, 1]",1,8,53,35,50+,20-49,0.726027397260274,0,0.6645591851071303,-0.016537966523938796,-0.016537966523938796,0.0,0.0073117960487866784,0.030214602683181657
1,"[2, 4, 1, 1]",2,2,53,18,50+,5-19,0.726027397260274,1,0.32461024036905817,0.1307418989954805,0.03359468415880973,0.09714721483667074,-0.014851885019003919,-0.07151480442860048
