year,fips,rep_votes,dem_votes,acs_vintage,total_pop,hispanic,edu_total_25plus,hs_or_less
2012,12071,154163,110157,2012,624155,114755,454454,206595
2012,12073,55805,90881,2012,276506,15695,159386,45328
2012,12075,12054,6119,2012,40541,3016,28842,16556
2012,12077,2301,942,2012,8300,687,5622,3747
2012,12079,4474,4176,2012,19187,911,13206,8255
2012,12081,85627,66503,2012,324834,47943,235332,103139
2012,12083,93043,66831,2012,331987,36335,243732,125522
2012,12085,48183,30107,2012,146497,17756,111278,42169
2012,12086,332981,541440,2012,2512219,1622824,1717817,854487
2012,12087,19234,19404,2012,73475,15176,56994,22727
2012,12089,29929,10251,2012,73303,2432,51623,24233
2012,12091,70168,23421,2012,183400,12958,123370,44916
2012,12093,7328,4856,2012,39779,9548,26366,17157
2012,12095,188589,273665,2012,1153795,312106,736726,295046
2012,12097,40592,67239,2012,272355,124711,174283,88882
2012,12099,247398,349651,2012,1324085,252510,948582,368028
2012,12101,112427,98263,2012,465276,54841,334461,159967
2012,12103,213258,239104,2012,917389,73378,687614,286616
2012,12105,131577,114622,2012,604562,107145,408881,221064
2012,12107,19326,11667,2012,74224,6729,51241,31647
2012,12109,78513,35190,2012,191495,10136,132733,38467
2012,12111,56202,65869,2012,278246,46152,194962,97280
2012,12113,58186,17768,2012,153086,6797,103700,39694
2012,12115,110504,95119,2012,380479,30241,298279,117609
2012,12117,109943,96445,2012,423389,73066,284515,95365
2012,12119,40646,19524,2012,94240,5687,82332,39371
2012,12121,12672,4751,2012,42287,3678,29252,18439
2012,12123,6249,2764,2012,22561,794,16137,9694
2012,12125,3980,1339,2012,15400,758,10882,6896
2012,12127,117490,114748,2012,495581,55845,357170,160658
2012,12129,9290,5175,2012,30449,1000,21247,10907
2012,12131,21490,6671,2012,55349,2910,40017,18035
2012,12133,8038,2820,2012,24732,757,17473,10548
2012,13001,5233,1758,2012,18279,1669,12259,8250
2012,13003,1938,930,2012,8355,2023,5139,3799
2012,13005,3093,791,2012,11124,792,7298,5302
2012,13007,785,794,2012,3483,12,2244,1466
2012,13009,7589,8483,2012,46378,933,28162,15812
2012,13011,5354,780,2012,18250,1053,12114,8041
2012,13013,18725,6028,2012,69136,6120,44035,23952
2012,13015,26876,8396,2012,99872,7599,64873,37670
2012,13017,3396,2512,2012,17612,1034,11234,6955
2012,13019,4843,1273,2012,19131,894,12734,7486
2012,13021,25623,38585,2012,155560,4469,99399,49680
2012,13023,3587,1269,2012,13009,60,7872,4964
2012,13025,4964,939,2012,18279,361,11945,8261
2012,13027,3554,3138,2012,16066,836,10688,6456
2012,13029,9560,3707,2012,30616,1462,19319,7502
2012,13031,14174,9593,2012,70360,2448,36329,16018
2012,13033,4301,5405,2012,23242,621,14446,9281
2012,13035,6306,2968,2012,23671,620,15958,10575
2012,13037,883,1298,2012,6581,348,4449,2936
2012,13039,11343,6377,2012,50435,2622,30476,13037
2012,13043,2344,1157,2012,11007,1230,6998,4558
2012,13045,28280,12688,2012,110750,6832,68355,37470
2012,13047,17858,5365,2012,64226,1515,43052,21021
2012,13049,2527,1197,2012,12954,1484,9148,6233
2012,13051,47204,60246,2012,266344,14426,171414,68751
2012,13053,735,729,2012,11917,1556,5489,1746
2012,13055,5452,2232,2012,25905,1073,17921,12351
2012,13057,76514,19841,2012,215014,20670,139654,48382
2012,13059,13815,25431,2012,117762,12213,61138,22687
2012,13061,537,862,2012,3174,6,2138,1391
2012,13063,14164,81479,2012,262066,34960,158150,78932
2012,13065,1598,852,2012,6800,227,4324,2962
2012,13067,171722,133124,2012,691820,84703,452004,131172
2012,13069,9248,5057,2012,42566,4379,26952,17609
2012,13071,9243,3973,2012,45531,7769,28663,18685
2012,13073,41765,16451,2012,124665,6293,80591,27748
2012,13075,3935,2042,2012,17073,1014,11018,7103
2012,13077,39653,15168,2012,127212,8443,82941,36979
2012,13079,3368,1706,2012,12701,91,8643,5223
2012,13081,4182,3167,2012,23460,750,15282,9220
2012,13083,4471,1411,2012,16598,302,10980,5944
2012,13085,8847,1241,2012,22246,869,15332,7302
2012,13087,5824,4591,2012,27815,1428,18126,10027
2012,13089,64392,238224,2012,694671,66469,458432,154434
2012,13091,5214,2442,2012,21509,733,14355,9145
2012,13093,1985,2285,2012,14528,879,9980,7003
2012,13095,11449,26295,2012,94591,2187,58045,28790
2012,13097,26241,28441,2012,132124,10990,83634,37434
