group,method,direction,reference_pp,estimate_pp,error_pp
R_renter_2020,crossfit_aipw,0_to_2,0.0,0.0,0.0
R_renter_2020,crossfit_aipw,0_to_3,0.0,0.0,0.0
R_renter_2020,crossfit_aipw,1_to_0,0.0,0.0,0.0
R_renter_2020,crossfit_aipw,1_to_2,0.0,0.0,0.0
R_renter_2020,crossfit_aipw,1_to_3,0.0,0.0,0.0
R_renter_2020,crossfit_aipw,2_to_0,2.67022696929239,2.181741299421169,-0.488485669871221
R_renter_2020,crossfit_aipw,2_to_1,7.87716955941255,7.789390818741318,-0.08777874067123204
R_renter_2020,crossfit_aipw,2_to_3,0.9345794392523363,1.0779544821791749,0.14337504292683856
R_renter_2020,crossfit_aipw,3_to_0,0.0,0.0,0.0
R_renter_2020,crossfit_aipw,3_to_1,0.0,0.0,0.0
R_renter_2020,crossfit_aipw,3_to_2,0.0,0.0,0.0
