model,delta,tau_loglik_loss,objective,attained_value,g01,g12,sum,loglik,fixed_reference_loglik,actual_maximum_drift,weighted_average_drift,minimum_middle_state_mass,minimum_parameter,near_boundary_count,status,global_certificate
hmm3,0.1,10.0,g12_min,0.0,0.0,0.0,0.0,-10303.76158555001,-10303.05290322578,0.09999999999999999,0.03939177662226484,0.1535612074079824,0.0,12,locally_searched_attained_extreme,False
hmm3,0.1,10.0,g12_max,0.03531925528552731,0.05579777588761214,0.03531925528552731,0.09111703117313945,-10312.965858028685,-10303.05290322578,0.0,0.0,0.15950638218999375,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.1,10.0,sum_min,0.0,0.0,0.0,0.0,-10303.76158555001,-10303.05290322578,0.09999999999999999,0.03939177662226484,0.1535612074079824,0.0,12,locally_searched_attained_extreme,False
hmm3,0.1,10.0,sum_max,0.09239977910596767,0.05779777588761214,0.03460200321835553,0.09239977910596767,-10313.019370311424,-10303.05290322578,0.0,0.0,0.16050638218999375,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.15,2.0,g01_min,0.0,0.0,0.0,0.0,-10295.13396702939,-10303.05290322578,0.15,0.0485099689342607,0.15430091318306316,0.0,12,locally_searched_attained_extreme,False
hmm3,0.15,2.0,g01_max,0.05479777588761213,0.05479777588761213,0.02638332575732556,0.08118110164493769,-10304.938979973256,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.15,2.0,g12_min,0.0,0.0,0.0,0.0,-10295.13396702939,-10303.05290322578,0.15,0.0485099689342607,0.15430091318306316,0.0,12,locally_searched_attained_extreme,False
hmm3,0.15,2.0,g12_max,0.04323201481164955,0.02773673538221213,0.04323201481164955,0.07096875019386167,-10304.963796612665,-10303.05290322578,0.13895487764049058,0.049305124615939555,0.15873296723136696,0.0,2,locally_searched_attained_extreme,False
hmm3,0.15,2.0,sum_min,0.0,0.0,0.0,0.0,-10295.13396702939,-10303.05290322578,0.15,0.0485099689342607,0.15430091318306316,0.0,12,locally_searched_attained_extreme,False
hmm3,0.15,2.0,sum_max,0.08191256289499883,0.05479777588761213,0.027114787007386704,0.08191256289499883,-10305.045796962184,-10303.05290322578,0.0,0.0,0.15650638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.15,10.0,g01_min,0.0,0.0,0.0,0.0,-10295.13396702939,-10303.05290322578,0.15,0.0485099689342607,0.15430091318306316,0.0,12,locally_searched_attained_extreme,False
hmm3,0.15,10.0,g01_max,0.060797775887612135,0.060797775887612135,0.030005203350239793,0.09080297923785192,-10312.623378459135,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.15,10.0,g12_min,0.0,0.0,0.0,0.0,-10295.13396702939,-10303.05290322578,0.15,0.0485099689342607,0.15430091318306316,0.0,12,locally_searched_attained_extreme,False
